model,RMSE,MAE,R2
Naive baseline,0.42786356106912904,0.3266106442577031,0.7365139947933057
CatBoost validation,0.28723283637910363,0.2113987808634082,0.8535605872121077
CatBoost test,0.3398448928038109,0.2485590469789131,0.8337703671683314
