model,outcome,regressor,coef,se,pvalue,nobs,r2
baseline,Early_Delinquency_Rate,event_occur,-0.02956256493560253,0.015514781922566376,0.05672614631660666,73899,6.367620525671303e-05
baseline,Late_Delinquency_Rate,event_occur,-0.008981748301561867,0.027201870357087266,0.7412583807983943,73899,2.0109302446558175e-06
distributed_lag,Early_Delinquency_Rate,log_total_damage,-0.0021613021349622848,0.0010561704175919547,0.04072477970378552,73899,0.0017820286533244412
distributed_lag,Early_Delinquency_Rate,log_total_damage_lag1,-0.004051961840273551,0.001121218721666238,0.0003018380206523119,73899,0.0017820286533244412
distributed_lag,Early_Delinquency_Rate,log_total_damage_lag2,-0.0049765555170875764,0.0012666986191583074,8.546299477929509e-05,73899,0.0017820286533244412
distributed_lag,Early_Delinquency_Rate,log_total_damage_lag3,-0.005848440817225139,0.001241608381048304,2.4771377860055566e-06,73899,0.0017820286533244412
distributed_lag,Early_Delinquency_Rate,log_total_damage_lag4,-0.00453963657310182,0.0012240039263989098,0.00020836313461369826,73899,0.0017820286533244412
distributed_lag,Early_Delinquency_Rate,log_total_damage_lag5,-0.002776180429000744,0.0012621840868301387,0.027845131001318357,73899,0.0017820286533244412
distributed_lag,Early_Delinquency_Rate,log_total_damage_lag6,-0.002507763658979322,0.0012163638476708567,0.039240894375518476,73899,0.0017820286533244412
distributed_lag,Late_Delinquency_Rate,log_total_damage,-0.001044721224583915,0.0019197890497921267,0.5863155334201897,73899,4.60185482884512e-05
distributed_lag,Late_Delinquency_Rate,log_total_damage_lag1,-0.0017860294113751524,0.0019445957514060699,0.358382189134824,73899,4.60185482884512e-05
distributed_lag,Late_Delinquency_Rate,log_total_damage_lag2,-0.0014603632361445621,0.0019880814984666027,0.462610440325387,73899,4.60185482884512e-05
distributed_lag,Late_Delinquency_Rate,log_total_damage_lag3,-0.0012450523427486504,0.002027412513617055,0.5391451832360823,73899,4.60185482884512e-05
distributed_lag,Late_Delinquency_Rate,log_total_damage_lag4,-0.00048339400996120813,0.002037747227971128,0.812486931516722,73899,4.60185482884512e-05
distributed_lag,Late_Delinquency_Rate,log_total_damage_lag5,-0.0001747357494062812,0.0020513423765285243,0.9321175906665116,73899,4.60185482884512e-05
distributed_lag,Late_Delinquency_Rate,log_total_damage_lag6,0.0005209975121523049,0.0020516675103216917,0.7995437292122229,73899,4.60185482884512e-05
flood_only,Early_Delinquency_Rate,flood_occur,-0.046779472957881194,0.018773001652721638,0.012710219880537554,73899,7.592963768043859e-05
flood_only,Late_Delinquency_Rate,flood_occur,-0.005519636949007915,0.03886604252239252,0.8870670046761933,73899,3.6166293282402506e-07
hail_only,Early_Delinquency_Rate,hail_occur,0.11869549842741357,0.07890979184964306,0.13253617559534248,73899,9.325093000256413e-05
hail_only,Late_Delinquency_Rate,hail_occur,0.09753165839702534,0.08696821238411373,0.2620943772175057,73899,2.1540619416060558e-05
tornado_only,Early_Delinquency_Rate,tornado_occur,-0.003829744558316555,0.029044730177911475,0.8950979374101675,73899,2.7592104079321444e-07
tornado_only,Late_Delinquency_Rate,tornado_occur,-0.0193749890331915,0.03899395065304829,0.6192810462793727,73899,2.416075100430959e-06
joint_types,Early_Delinquency_Rate,flood_occur,-0.046652891976644455,0.01874784308887606,0.01283267219807227,73899,0.00021382441676232045
joint_types,Early_Delinquency_Rate,tornado_occur,-0.0009379183816022619,0.02883053623752179,0.9740477923551838,73899,0.00021382441676232045
joint_types,Early_Delinquency_Rate,thunder_occur,-0.061939600474904793,0.034027982281968586,0.06872427486637589,73899,0.00021382441676232045
joint_types,Early_Delinquency_Rate,hail_occur,0.12124704487638385,0.07859105123045182,0.1228935965043294,73899,0.00021382441676232045
joint_types,Late_Delinquency_Rate,flood_occur,-0.005486063900956619,0.03881393092879188,0.8875996452662647,73899,2.475701153714649e-05
joint_types,Late_Delinquency_Rate,tornado_occur,-0.020031144069128266,0.0389699735013157,0.6072431753717806,73899,2.475701153714649e-05
joint_types,Late_Delinquency_Rate,thunder_occur,0.009257497320785455,0.06575581264798121,0.8880393962062947,73899,2.475701153714649e-05
joint_types,Late_Delinquency_Rate,hail_occur,0.09754633110014606,0.08704064092695545,0.26241981579274154,73899,2.475701153714649e-05
county_heterogeneity,Early_Delinquency_Rate,flood_occur,-0.046279859011282405,0.019166605437914635,0.015754538152598974,73899,0.00013243832787634968
county_heterogeneity,Early_Delinquency_Rate,flood_x_48157,0.0970784446342768,0.021241518661660245,4.880023940057043e-06,73899,0.00013243832787634968
county_heterogeneity,Early_Delinquency_Rate,flood_x_48339,0.07145007521484406,0.020216818517577614,0.0004092787420622024,73899,0.00013243832787634968
county_heterogeneity,Early_Delinquency_Rate,flood_x_48245,-0.4251996232867321,0.023312760597021746,0.0,73899,0.00013243832787634968
county_heterogeneity,Early_Delinquency_Rate,flood_x_34013,0.21219285250081873,0.028380312003451785,7.704947790898586e-14,73899,0.00013243832787634968
county_heterogeneity,Early_Delinquency_Rate,flood_x_47037,0.040623607924592436,0.020825644867101145,0.05110213437849187,73899,0.00013243832787634968
